repo_id,username,robot_type,total_episodes,total_frames,fps,camera_keys,num_cameras,video_keys,has_video,total_tasks,tasks,is_sim,is_eval,features,chunks_size,total_chunks,version
physical-intelligence/libero,physical-intelligence,panda,1693,273465,10,"image,wrist_image",2,,False,40,"{""0"": ""put the white mug on the left plate and put the yellow and white mug on the right plate"", ""1"": ""put the white mug on the plate and put the chocolate pudding to the right of the plate"", ""2"": ""put the yellow and white mug in the microwave and close it"", ""3"": ""turn on the stove and put the moka pot on it"", ""4"": ""put both the alphabet soup and the cream cheese box in the basket"", ""5"": ""put both the alphabet soup and the tomato sauce in the basket"", ""6"": ""put both moka pots on the stove"", ""7"": ""put both the cream cheese box and the butter in the basket"", ""8"": ""put the black bowl in the bottom drawer of the cabinet and close it"", ""9"": ""pick up the book and place it in the back compartment of the caddy"", ""10"": ""put the bowl on the plate"", ""11"": ""put the wine bottle on the rack"", ""12"": ""open the top drawer and put the bowl inside"", ""13"": ""put the cream cheese in the bowl"", ""14"": ""put the wine bottle on top of the cabinet"", ""15"": ""push the plate to the front of the stove"", ""16"": ""turn on the stove"", ""17"": ""put the bowl on the stove"", ""18"": ""put the bowl on top of the cabinet"", ""19"": ""open the middle drawer of the cabinet"", ""20"": ""pick up the orange juice and place it in the basket"", ""21"": ""pick up the ketchup and place it in the basket"", ""22"": ""pick up the cream cheese and place it in the basket"", ""23"": ""pick up the bbq sauce and place it in the basket"", ""24"": ""pick up the alphabet soup and place it in the basket"", ""25"": ""pick up the milk and place it in the basket"", ""26"": ""pick up the salad dressing and place it in the basket"", ""27"": ""pick up the butter and place it in the basket"", ""28"": ""pick up the tomato sauce and place it in the basket"", ""29"": ""pick up the chocolate pudding and place it in the basket"", ""30"": ""pick up the black bowl next to the cookie box and place it on the plate"", ""31"": ""pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate"", ""32"": ""pick up the black bowl on the ramekin and place it on the plate"", ""33"": ""pick up the black bowl on the stove and place it on the plate"", ""34"": ""pick up the black bowl between the plate and the ramekin and place it on the plate"", ""35"": ""pick up the black bowl on the cookie box and place it on the plate"", ""36"": ""pick up the black bowl next to the plate and place it on the plate"", ""37"": ""pick up the black bowl next to the ramekin and place it on the plate"", ""38"": ""pick up the black bowl from table center and place it on the plate"", ""39"": ""pick up the black bowl on the wooden cabinet and place it on the plate""}",False,False,"image,wrist_image,state,actions,timestamp,frame_index,episode_index,index,task_index",1000,2,v2.0
lerobot/aloha_sim_transfer_cube_human,lerobot,aloha,50,20000,50,observation.images.top,1,observation.images.top,True,1,"{""0"": ""Pick up the cube with the right arm and transfer it to the left arm.""}",True,False,"observation.images.top,observation.state,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
lerobot/umi_cup_in_the_wild,lerobot,unknown,1447,699432,10,observation.image,1,observation.image,True,1,"{""0"": ""Put the cup on the plate.""}",False,False,"observation.image,observation.state,episode_index,frame_index,timestamp,episode_data_index_from,episode_data_index_to,end_pose,start_pos,gripper_width,index,task_index",1000,2,v2.0
lerobot/pusht_image,lerobot,unknown,206,25650,10,observation.image,1,,False,1,"{""0"": ""Push the T-shaped block onto the T-shaped target.""}",False,False,"observation.image,observation.state,action,episode_index,frame_index,timestamp,next.reward,next.done,next.success,index,task_index",1000,1,v2.0
lerobot/unitreeh1_fold_clothes,lerobot,unknown,38,19000,50,"observation.images.cam_left,observation.images.cam_right",2,"observation.images.cam_left,observation.images.cam_right",True,1,"{""0"": ""Fold the sweatshirt.""}",False,False,"observation.images.cam_left,observation.images.cam_right,observation.state,action,episode_index,frame_index,timestamp,next.done,index,task_index",1000,1,v2.0
lerobot/droid_100,lerobot,unknown,100,32212,15,"observation.images.exterior_image_1_left,observation.images.exterior_image_2_left,observation.images.wrist_image_left",3,"observation.images.exterior_image_1_left,observation.images.exterior_image_2_left,observation.images.wrist_image_left",True,47,"{""0"": ""Put the marker in the pot"", ""1"": ""Put the candy bar on the left side of the first shelf"", ""2"": ""Put one green sachet in the grey bowl."", ""3"": ""Place the pack of doritos inside the sink"", ""4"": ""Move the sharpie to the table"", ""5"": """", ""6"": ""Take the pen out of the bowl and place it on the table"", ""7"": ""Move the pan to the right."", ""8"": ""Move the glass to the second row in the dishwasher"", ""9"": ""Pick up the lid from the table and put it on the pot"", ""10"": ""Pick up the black object from the striped towel and place it on the white sheet of paper on the right"", ""11"": ""Slide the black lid off"", ""12"": ""Put the orange rubber duck into the pot"", ""13"": ""Use the duster to wipe the whiteboard"", ""14"": ""Turn off the left light switch"", ""15"": ""Put the tissues in the rubbish bin."", ""16"": ""Put the middle fork in the middle section of the white object"", ""17"": ""Put the  cable in the storage box"", ""18"": ""Put the bread in the toaster"", ""19"": ""Put the white book on top of the tissue box."", ""20"": ""Move the vaseline closer to the mirror"", ""21"": ""Put the towel on the bottle to the right"", ""22"": ""Take two folded white cloths out of the white box on the left"", ""23"": ""Put the objects on the table into the cardboard box"", ""24"": ""Put the towel on the table into the box"", ""25"": ""Turn the tap on and off and put the spoon in the dishes tray"", ""26"": ""Pick up the computer mouse and put it in the microwave"", ""27"": ""Put the marker inside the cup"", ""28"": ""Pick up the white towel and put it in the basket , pick up the marker and put it in the cup, then, pick up the yellow towel and put it in the basket, and finally pick up the masking tape and put it in the cup"", ""29"": ""Press a button on the keyboard"", ""30"": ""Put the green block in the bowl"", ""31"": ""Put the orange toy into the wooden box"", ""32"": ""Take the lid off the smaller pot"", ""33"": ""Move the orange objects from the pullout table to the desk"", ""34"": ""Move the green plush to the left"", ""35"": ""move one white object from the right heap to the left, then get the blue-white object and fold it on top of the left heap"", ""36"": ""Move the yellow mug forward"", ""37"": ""Move the cup to the right"", ""38"": ""Close the drawer"", ""39"": ""Turn the tap nozzle from the right to the middle then open the tap"", ""40"": ""Pick up one small bottle from the container and put it on the table."", ""41"": ""Put the yellow cube inside the blue cup"", ""42"": ""Move the pot to the top left corner of the table"", ""43"": ""Move the faucet to the center of the sink"", ""44"": ""Get the marker from the table and place it in the colorless cup"", ""45"": ""Pick the two bottles on the stove and place them on the counter, then pick the cooking stick from the pot and place it on the stove"", ""46"": ""Take the blocks out of the gift disappointed""}",False,False,"observation.images.exterior_image_1_left,observation.images.exterior_image_2_left,observation.images.wrist_image_left,language_instruction,observation.state,action,timestamp,episode_index,frame_index,next.reward,next.done,index,task_index",1000,1,v2.0
pollen-robotics/apple_storage,pollen-robotics,reachy2,50,14983,30,observation.image,1,observation.image,True,1,"{""0"": ""place the apple in the plate""}",False,False,"observation.state,action,observation.image,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
ninetyone/so100_training_20250102_002,ninetyone,so100,2,2385,30,observation.images.phone,1,observation.images.phone,True,1,"{""0"": ""block_toss""}",False,False,"action,observation.state,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
danaaubakirova/koch_test,danaaubakirova,koch,51,16602,30,"observation.images.laptop,observation.images.phone",2,"observation.images.laptop,observation.images.phone",True,1,"{""0"": ""Pick up yellow lego block and put it in the bin""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
satvikahuja/mixer_on_off_new_1,satvikahuja,so100,60,41082,30,"observation.images.laptop,observation.images.phone,observation.images.Lwebcam,observation.images.macwebcam",4,"observation.images.laptop,observation.images.phone,observation.images.Lwebcam,observation.images.macwebcam",True,1,"{""0"": ""on off mixer""}",False,False,"action,observation.state,observation.images.laptop,observation.images.phone,observation.images.Lwebcam,observation.images.macwebcam,timestamp,frame_index,episode_index,index,task_index",1000,1,v2.0
